ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
119,8,16.67,"[2, 5, 8, 23, 32, 36, 42, 43]",0.0,[],18.75,"[2, 5, 8, 23, 32, 36, 42, 43, 46]",0.0,[],18.75,"[2, 5, 8, 23, 32, 36, 42, 43, 46]",0.0,[]
12,8,20.0,"[2, 4, 6, 13, 14, 15, 25, 43, 48, 55, 57, 59, 66, 67]",12.86,"[7, 10, 16, 19, 28, 42, 43, 53, 63]",20.0,"[2, 4, 6, 13, 14, 15, 25, 43, 48, 55, 57, 59, 66, 67]",14.29,"[5, 7, 10, 16, 19, 28, 42, 43, 53, 63]",20.0,"[2, 4, 6, 13, 14, 15, 25, 43, 48, 55, 57, 59, 66, 67]",12.86,"[7, 10, 16, 19, 28, 42, 43, 53, 63]"
120,8,18.0,"[11, 13, 16, 22, 27, 35, 39, 43, 45]",0.0,[],20.0,"[11, 13, 16, 22, 27, 35, 39, 43, 45, 48]",0.0,[],20.0,"[11, 13, 16, 22, 27, 35, 39, 43, 45, 48]",0.0,[]
121,8,26.19,"[5, 6, 13, 19, 22, 29, 30, 32, 34, 38, 39]",0.0,[],28.57,"[3, 5, 6, 13, 19, 22, 29, 30, 32, 34, 38, 39]",0.0,[],28.57,"[3, 5, 6, 13, 19, 22, 29, 30, 32, 34, 38, 39]",0.0,[]
122,8,28.21,"[3, 5, 7, 9, 12, 17, 18, 23, 34, 36, 37]",0.0,[],28.21,"[3, 5, 7, 9, 12, 17, 18, 23, 34, 36, 37]",0.0,[],28.21,"[3, 5, 7, 9, 12, 17, 18, 23, 34, 36, 37]",0.0,[]
123,8,20.0,"[2, 23, 25, 27, 32, 34, 40, 41, 42]",17.78,"[3, 8, 11, 12, 16, 18, 30, 44]",24.44,"[2, 17, 23, 25, 27, 32, 34, 37, 40, 41, 42]",15.56,"[3, 8, 11, 12, 16, 30, 44]",24.44,"[2, 17, 23, 25, 27, 32, 34, 37, 40, 41, 42]",17.78,"[3, 8, 11, 12, 16, 18, 30, 44]"
123M,8,28.0,"[4, 9, 12, 13, 15, 17, 23]",0.0,[],28.0,"[4, 9, 12, 13, 15, 17, 23]",0.0,[],28.0,"[4, 9, 12, 13, 15, 17, 23]",0.0,[]
124,8,14.58,"[13, 20, 21, 22, 27, 31, 39]",14.58,"[23, 24, 29, 34, 36, 41, 42]",16.67,"[13, 20, 21, 22, 27, 31, 39, 44]",16.67,"[23, 24, 29, 34, 36, 37, 41, 42]",16.67,"[13, 20, 21, 22, 27, 31, 39, 44]",16.67,"[23, 24, 29, 34, 36, 37, 41, 42]"
125,8,25.49,"[9, 13, 15, 16, 22, 27, 37, 38, 39, 42, 44, 48, 49]",0.0,[],25.49,"[9, 13, 15, 16, 22, 27, 37, 38, 39, 42, 44, 48, 49]",0.0,[],25.49,"[9, 13, 15, 16, 22, 27, 37, 38, 39, 42, 44, 48, 49]",0.0,[]
125A,8,44.44,"[2, 3, 4, 9]",0.0,[],44.44,"[2, 3, 4, 9]",0.0,[],44.44,"[2, 3, 4, 9]",0.0,[]
127,8,18.18,"[2, 10, 15, 17]",0.0,[],18.18,"[2, 10, 15, 17]",0.0,[],18.18,"[2, 10, 15, 17]",0.0,[]
127A,8,66.67,"[2, 3, 4, 5]",0.0,[],66.67,"[2, 3, 4, 5]",0.0,[],66.67,"[2, 3, 4, 5]",0.0,[]
129,8,21.95,"[11, 18, 19, 25, 28, 30, 33, 37, 38]",21.95,"[4, 5, 8, 10, 12, 16, 24, 29, 30]",21.95,"[11, 18, 19, 25, 28, 30, 33, 37, 38]",21.95,"[4, 5, 8, 10, 12, 16, 24, 29, 30]",21.95,"[11, 18, 19, 25, 28, 30, 33, 37, 38]",21.95,"[4, 5, 8, 10, 12, 16, 24, 29, 30]"
129A,8,80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[]
129B,8,14.29,[4],0.0,[],14.29,[4],0.0,[],14.29,[4],0.0,[]
12e,8,43.9,"[2, 4, 6, 10, 13, 14, 15, 16, 21, 26, 27, 29, 31, 35, 36, 38, 39, 41]",36.59,"[3, 4, 6, 7, 8, 14, 15, 19, 21, 25, 26, 29, 35, 36, 38]",46.34,"[2, 3, 4, 6, 10, 13, 14, 15, 16, 21, 26, 27, 29, 31, 35, 36, 38, 39, 41]",41.46,"[3, 4, 6, 7, 8, 13, 14, 15, 19, 21, 25, 26, 27, 29, 35, 36, 38]",46.34,"[2, 3, 4, 6, 10, 13, 14, 15, 16, 21, 26, 27, 29, 31, 35, 36, 38, 39, 41]",41.46,"[3, 4, 6, 7, 8, 13, 14, 15, 19, 21, 25, 26, 27, 29, 35, 36, 38]"
13,8,24.62,"[2, 6, 10, 11, 12, 21, 24, 28, 29, 39, 40, 44, 45, 49, 50, 61]",18.46,"[15, 24, 25, 26, 40, 42, 44, 47, 53, 55, 56, 61]",26.15,"[2, 6, 10, 11, 12, 21, 24, 28, 29, 35, 39, 40, 44, 45, 49, 50, 61]",18.46,"[15, 24, 25, 26, 40, 42, 44, 47, 53, 55, 56, 61]",29.23,"[2, 6, 7, 10, 11, 12, 21, 24, 27, 28, 29, 39, 40, 44, 45, 49, 50, 54, 61]",21.54,"[15, 18, 24, 25, 26, 32, 40, 42, 44, 47, 53, 55, 56, 61]"
130,8,14.29,"[3, 20, 24, 32, 36, 42]",19.05,"[3, 4, 6, 10, 11, 14, 18, 23]",14.29,"[3, 20, 24, 32, 36, 42]",19.05,"[3, 4, 6, 10, 11, 14, 18, 23]",16.67,"[3, 20, 24, 32, 36, 38, 42]",19.05,"[3, 4, 6, 10, 11, 14, 18, 23]"
131,8,12.0,"[15, 19, 21, 24, 39, 47]",18.0,"[10, 21, 22, 24, 31, 33, 36, 42, 46]",12.0,"[15, 19, 21, 24, 39, 47]",20.0,"[7, 10, 20, 21, 22, 24, 31, 33, 42, 46]",12.0,"[15, 19, 21, 24, 39, 47]",22.0,"[7, 10, 20, 21, 22, 24, 31, 33, 36, 42, 46]"
