ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
652,8,80.77,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25]",76.92,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 26]",80.77,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25]",76.92,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 26]",80.77,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25]",76.92,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 26]"
653,8,80.0,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20]",70.0,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]",80.0,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20]",70.0,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]",80.0,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20]",70.0,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]"
654,8,69.23,"[2, 4, 5, 6, 7, 8, 9, 12, 13]",69.23,"[3, 4, 5, 7, 8, 9, 10, 11, 13]",69.23,"[2, 4, 5, 6, 7, 8, 9, 12, 13]",69.23,"[3, 4, 5, 7, 8, 9, 10, 11, 13]",69.23,"[2, 4, 5, 6, 7, 8, 9, 12, 13]",69.23,"[3, 4, 5, 7, 8, 9, 10, 11, 13]"
655,8,63.64,"[2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22]",63.64,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19, 20, 21]",63.64,"[2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22]",63.64,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19, 20, 21]",63.64,"[2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22]",63.64,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19, 20, 21]"
656,8,72.22,"[2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",77.78,"[3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18]",72.22,"[2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",77.78,"[3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18]",72.22,"[2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",77.78,"[3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18]"
657,8,83.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18]",77.78,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",83.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18]",77.78,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",83.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18]",77.78,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
66,8,6.82,"[12, 25, 37]",0.0,[],6.82,"[12, 25, 37]",0.0,[],6.82,"[12, 25, 37]",0.0,[]
660,8,70.59,"[4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",76.47,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]",70.59,"[4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",76.47,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]",70.59,"[4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",76.47,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]"
661,8,47.06,"[3, 5, 6, 7, 8, 15, 16, 17]",41.18,"[3, 4, 10, 11, 12, 13, 15]",47.06,"[3, 5, 6, 7, 8, 15, 16, 17]",41.18,"[3, 4, 10, 11, 12, 13, 15]",47.06,"[3, 5, 6, 7, 8, 15, 16, 17]",41.18,"[3, 4, 10, 11, 12, 13, 15]"
663,8,72.73,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21]",50.0,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 18, 19]",72.73,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21]",50.0,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 18, 19]",72.73,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21]",50.0,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 18, 19]"
665,8,54.17,"[2, 3, 4, 5, 7, 9, 16, 17, 18, 20, 21, 22, 23]",54.17,"[3, 4, 5, 6, 7, 8, 9, 10, 15, 17, 21, 22, 24]",54.17,"[2, 3, 4, 5, 7, 9, 16, 17, 18, 20, 21, 22, 23]",54.17,"[3, 4, 5, 6, 7, 8, 9, 10, 15, 17, 21, 22, 24]",54.17,"[2, 3, 4, 5, 7, 9, 16, 17, 18, 20, 21, 22, 23]",54.17,"[3, 4, 5, 6, 7, 8, 9, 10, 15, 17, 21, 22, 24]"
666,8,76.47,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17]",64.71,"[3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16]",76.47,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17]",64.71,"[3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16]",76.47,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17]",64.71,"[3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16]"
667,8,64.29,"[2, 4, 6, 7, 8, 9, 12, 13, 14]",50.0,"[3, 4, 6, 7, 8, 10, 12]",64.29,"[2, 4, 6, 7, 8, 9, 12, 13, 14]",50.0,"[3, 4, 6, 7, 8, 10, 12]",64.29,"[2, 4, 6, 7, 8, 9, 12, 13, 14]",50.0,"[3, 4, 6, 7, 8, 10, 12]"
668,8,63.16,"[2, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19]",68.42,"[3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",63.16,"[2, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19]",68.42,"[3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",63.16,"[2, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19]",68.42,"[3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
67,8,27.06,"[3, 10, 12, 15, 16, 21, 22, 28, 30, 31, 32, 33, 40, 42, 46, 48, 58, 59, 63, 66, 69, 70, 74]",18.82,"[8, 12, 13, 22, 23, 41, 45, 48, 49, 52, 54, 57, 62, 63, 66, 72]",27.06,"[3, 10, 12, 15, 16, 21, 22, 28, 30, 31, 32, 33, 40, 42, 46, 48, 58, 59, 63, 66, 69, 70, 74]",20.0,"[8, 12, 13, 21, 22, 23, 41, 45, 48, 49, 52, 54, 57, 62, 63, 66, 72]",27.06,"[3, 10, 12, 15, 16, 21, 22, 28, 30, 31, 32, 33, 40, 42, 46, 48, 58, 59, 63, 66, 69, 70, 74]",21.18,"[5, 8, 12, 13, 21, 22, 23, 41, 45, 48, 49, 52, 54, 57, 62, 63, 66, 72]"
670,8,65.0,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20]",70.0,"[3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",65.0,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20]",70.0,"[3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",65.0,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20]",70.0,"[3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]"
671,8,70.59,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17]",58.82,"[3, 4, 6, 7, 8, 9, 12, 13, 15, 16]",70.59,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17]",58.82,"[3, 4, 6, 7, 8, 9, 12, 13, 15, 16]",70.59,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17]",58.82,"[3, 4, 6, 7, 8, 9, 12, 13, 15, 16]"
672,8,70.59,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17]",70.59,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16]",70.59,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17]",70.59,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16]",70.59,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17]",70.59,"[3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
68,8,20.45,"[2, 3, 5, 12, 15, 24, 34, 36, 43]",0.0,[],20.45,"[2, 3, 5, 12, 15, 24, 34, 36, 43]",0.0,[],22.73,"[2, 3, 5, 12, 15, 24, 30, 34, 36, 43]",0.0,[]
68A,8,62.5,"[2, 4, 6, 7, 8]",0.0,[],62.5,"[2, 4, 6, 7, 8]",0.0,[],62.5,"[2, 4, 6, 7, 8]",0.0,[]
68B,8,75.0,"[2, 3, 5, 6, 7, 8]",0.0,[],75.0,"[2, 3, 5, 6, 7, 8]",0.0,[],75.0,"[2, 3, 5, 6, 7, 8]",0.0,[]
69,8,8.82,"[2, 13, 23]",0.0,[],8.82,"[2, 13, 23]",0.0,[],8.82,"[2, 13, 23]",0.0,[]
7,8,7.14,"[25, 32, 41, 47]",14.29,"[2, 12, 23, 26, 30, 36, 46, 49]",7.14,"[10, 32, 41, 47]",14.29,"[2, 12, 23, 26, 30, 36, 46, 49]",7.14,"[11, 32, 41, 47]",14.29,"[2, 12, 23, 26, 30, 36, 46, 49]"
70,8,12.28,"[2, 37, 40, 42, 47, 49, 54]",14.04,"[4, 6, 17, 19, 21, 22, 31, 32]",12.28,"[2, 37, 40, 42, 47, 49, 54]",15.79,"[4, 6, 9, 17, 19, 21, 22, 31, 32]",12.28,"[2, 37, 40, 42, 47, 49, 54]",15.79,"[4, 6, 9, 17, 19, 21, 22, 31, 32]"
70A,8,82.69,"[2, 3, 4, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52]",0.0,[],82.69,"[2, 3, 4, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52]",0.0,[],82.69,"[2, 3, 4, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52]",0.0,[]
70B,8,72.22,"[4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",0.0,[],72.22,"[4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",0.0,[],72.22,"[4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18]",0.0,[]
70M,8,14.29,"[2, 37, 40, 42, 47, 49, 56, 57, 65, 66, 67, 69, 70, 79, 80]",0.0,[],14.29,"[2, 37, 40, 42, 47, 49, 56, 57, 65, 66, 67, 69, 70, 79, 80]",0.0,[],14.29,"[2, 28, 37, 40, 42, 49, 56, 57, 65, 66, 67, 69, 70, 79, 80]",0.0,[]
71,8,23.81,"[2, 4, 6, 7, 18, 26, 35, 36, 37, 41]",0.0,[],26.19,"[2, 4, 6, 7, 14, 18, 26, 35, 36, 37, 41]",0.0,[],26.19,"[2, 4, 6, 7, 14, 18, 26, 35, 36, 37, 41]",0.0,[]
72,8,4.44,"[6, 25]",2.22,[2],2.22,[25],2.22,[2],4.44,"[2, 25]",4.44,"[2, 27]"
72A,8,50.0,"[2, 4, 6, 12, 13, 14, 15, 16, 17, 19]",0.0,[],55.0,"[2, 3, 4, 6, 12, 13, 14, 15, 16, 17, 19]",0.0,[],55.0,"[2, 3, 4, 6, 12, 13, 14, 15, 16, 17, 19]",0.0,[]
72B,8,0.0,[],0.0,[],0.0,[],0.0,[],20.0,[2],0.0,[]
73,8,14.29,"[3, 17, 20, 21, 26, 29, 35, 41]",0.0,[],16.07,"[3, 17, 20, 21, 25, 26, 29, 35, 41]",0.0,[],14.29,"[3, 17, 20, 21, 26, 29, 35, 41]",0.0,[]
73T,8,89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.0,[],89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.0,[],89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",0.0,[]
74,8,18.75,"[3, 22, 29, 32, 35, 38, 43, 44, 54, 55, 61, 62]",12.5,"[3, 5, 11, 25, 27, 28, 36, 43]",17.19,"[3, 22, 29, 35, 38, 43, 44, 54, 55, 61, 62]",12.5,"[3, 5, 11, 25, 27, 28, 36, 43]",17.19,"[3, 22, 29, 35, 38, 43, 44, 54, 55, 61, 62]",10.94,"[5, 11, 25, 27, 28, 36, 43]"
75,8,15.79,"[7, 13, 14, 19, 20, 36, 42, 43, 53]",15.79,"[4, 11, 16, 22, 38, 44, 50, 52, 53]",17.54,"[7, 13, 14, 19, 20, 36, 41, 42, 43, 53]",15.79,"[4, 11, 16, 22, 38, 44, 50, 52, 53]",15.79,"[7, 13, 14, 19, 20, 36, 42, 43, 53]",15.79,"[4, 11, 16, 22, 38, 44, 50, 52, 53]"
76,8,15.91,"[2, 5, 6, 8, 12, 34, 37]",27.27,"[2, 4, 6, 8, 10, 12, 13, 20, 35, 37, 38, 39]",15.91,"[2, 5, 6, 8, 12, 34, 37]",27.27,"[2, 4, 6, 8, 10, 12, 13, 20, 35, 37, 38, 39]",15.91,"[2, 5, 6, 8, 12, 34, 37]",27.27,"[2, 4, 6, 8, 10, 12, 13, 20, 35, 37, 38, 39]"
77,8,12.5,"[2, 4, 20, 29, 40, 43]",18.75,"[8, 17, 22, 23, 29, 34, 35, 38, 39]",14.58,"[2, 4, 20, 29, 34, 40, 43]",16.67,"[8, 17, 22, 23, 34, 35, 38, 39]",12.5,"[2, 4, 20, 29, 40, 43]",16.67,"[8, 17, 22, 23, 29, 34, 35, 38]"
78,8,6.9,"[27, 31, 35, 58]",0.0,[],6.9,"[27, 31, 35, 58]",0.0,[],6.9,"[27, 31, 35, 58]",0.0,[]
78A,8,56.25,"[2, 3, 4, 5, 6, 7, 9, 12, 14]",0.0,[],56.25,"[2, 3, 4, 5, 6, 7, 9, 12, 14]",0.0,[],56.25,"[2, 3, 4, 5, 6, 7, 9, 12, 14]",0.0,[]
79,8,3.51,"[39, 57]",0.0,[],3.51,"[39, 57]",0.0,[],3.51,"[39, 57]",0.0,[]
79T,8,57.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 19, 23, 28]",0.0,[],57.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 19, 23, 28]",0.0,[],57.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 19, 23, 28]",0.0,[]
7A,8,97.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[],97.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[],97.14,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[]
7B,8,88.0,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[],88.0,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[],88.0,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[]
8,8,20.0,"[3, 5, 7, 11, 12, 18, 21, 23]",10.0,"[2, 7, 30, 34]",20.0,"[3, 5, 7, 11, 12, 18, 21, 23]",12.5,"[2, 7, 23, 30, 34]",20.0,"[3, 5, 7, 11, 12, 18, 21, 23]",12.5,"[2, 7, 23, 30, 34]"
80,8,26.67,"[2, 5, 9, 11, 14, 16, 26, 29, 33, 35, 40, 41, 44, 48, 49, 51]",25.0,"[15, 17, 20, 22, 24, 25, 31, 33, 34, 36, 37, 47, 52, 54, 57]",26.67,"[2, 5, 9, 11, 14, 16, 26, 29, 33, 35, 40, 41, 44, 48, 49, 51]",26.67,"[15, 17, 20, 22, 24, 25, 26, 31, 33, 34, 36, 37, 47, 52, 54, 57]",26.67,"[2, 5, 9, 11, 14, 16, 26, 29, 33, 35, 40, 41, 44, 48, 49, 51]",25.0,"[15, 17, 20, 22, 24, 25, 31, 33, 34, 36, 37, 47, 52, 54, 57]"
800,8,9.09,"[11, 15]",0.0,[],9.09,"[11, 15]",0.0,[],18.18,"[2, 9, 11, 15]",0.0,[]
801,8,14.29,"[2, 3, 10]",0.0,[],14.29,"[2, 3, 10]",0.0,[],14.29,"[2, 3, 10]",0.0,[]
803,8,0.0,[],0.0,[],8.33,[5],0.0,[],8.33,[5],0.0,[]
804,8,4.55,[3],0.0,[],4.55,[3],0.0,[],4.55,[3],0.0,[]
805,8,11.76,"[3, 16]",0.0,[],11.76,"[3, 16]",0.0,[],11.76,"[3, 16]",0.0,[]
806,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
807,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
807A,8,14.29,"[2, 13]",0.0,[],14.29,"[2, 13]",0.0,[],14.29,"[2, 13]",0.0,[]
807B,8,94.44,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.0,[],94.44,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.0,[],94.44,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.0,[]
80A,8,45.16,"[2, 4, 5, 7, 8, 10, 13, 14, 15, 18, 25, 28, 30, 31]",0.0,[],48.39,"[2, 4, 5, 6, 7, 8, 10, 13, 14, 15, 18, 25, 28, 30, 31]",0.0,[],45.16,"[2, 4, 5, 7, 8, 10, 13, 14, 15, 18, 25, 28, 30, 31]",0.0,[]
81,8,16.67,"[3, 5, 17, 25, 30, 32, 36, 41, 45, 57, 58, 61]",0.0,[],18.06,"[3, 5, 16, 17, 25, 30, 32, 36, 41, 45, 57, 58, 61]",0.0,[],16.67,"[3, 5, 17, 25, 30, 32, 36, 41, 45, 57, 58, 61]",0.0,[]
811,8,6.98,"[8, 14, 33]",0.0,[],6.98,"[8, 14, 33]",0.0,[],6.98,"[8, 14, 33]",0.0,[]
811A,8,93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[]
811T,8,93.02,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[],93.02,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[],93.02,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[]
812,8,11.43,"[3, 17, 20, 31]",0.0,[],11.43,"[3, 17, 20, 31]",0.0,[],14.29,"[2, 3, 17, 20, 31]",0.0,[]
812T,8,94.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[],94.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[],94.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.0,[]
82,8,37.21,"[2, 5, 9, 12, 13, 16, 17, 18, 19, 23, 27, 28, 31, 34, 37, 41]",0.0,[],37.21,"[2, 5, 9, 12, 13, 16, 17, 18, 19, 23, 27, 28, 31, 34, 37, 41]",0.0,[],37.21,"[2, 5, 9, 12, 13, 16, 17, 18, 19, 23, 27, 28, 31, 34, 37, 41]",0.0,[]
825,8,33.33,"[2, 4, 6, 10, 14]",0.0,[],33.33,"[2, 4, 6, 10, 14]",0.0,[],33.33,"[2, 4, 6, 10, 14]",0.0,[]
83,8,29.03,"[2, 8, 9, 13, 18, 22, 23, 24, 25]",0.0,[],32.26,"[2, 8, 9, 12, 13, 18, 22, 23, 24, 25]",0.0,[],32.26,"[2, 8, 9, 12, 13, 18, 22, 23, 24, 25]",0.0,[]
83T,8,93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],93.75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[]
84A,8,33.33,"[2, 4]",0.0,[],33.33,"[2, 4]",0.0,[],33.33,"[2, 4]",0.0,[]
84G,8,29.41,"[2, 4, 5, 7, 8]",0.0,[],29.41,"[2, 4, 5, 7, 8]",0.0,[],29.41,"[2, 4, 5, 7, 8]",0.0,[]
84W,8,29.41,"[2, 4, 9, 14, 15]",0.0,[],29.41,"[2, 4, 9, 14, 15]",0.0,[],29.41,"[2, 4, 9, 14, 15]",0.0,[]
85,8,3.12,[2],15.62,"[4, 5, 6, 17, 24]",3.12,[2],15.62,"[4, 5, 6, 17, 24]",3.12,[2],15.62,"[4, 5, 6, 17, 24]"
850E,8,53.85,"[2, 3, 5, 6, 7, 8, 9, 19, 20, 21, 23, 24, 25, 26]",53.85,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 20, 21, 23, 24, 26]",53.85,"[2, 3, 5, 6, 7, 8, 9, 19, 20, 21, 23, 24, 25, 26]",53.85,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 20, 21, 23, 24, 26]",53.85,"[2, 3, 5, 6, 7, 8, 9, 19, 20, 21, 23, 24, 25, 26]",53.85,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 20, 21, 23, 24, 26]"
851,8,14.29,"[5, 6, 17, 24, 33, 47, 49, 53]",19.64,"[2, 6, 8, 11, 12, 19, 21, 30, 32, 37, 42]",16.07,"[5, 6, 12, 17, 24, 33, 47, 49, 53]",19.64,"[2, 6, 8, 11, 12, 19, 21, 30, 32, 37, 42]",19.64,"[5, 6, 12, 17, 24, 33, 36, 47, 49, 51, 53]",19.64,"[2, 6, 8, 11, 12, 19, 21, 30, 32, 37, 42]"
851e,8,65.22,"[3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18, 20, 21, 23]",43.48,"[3, 4, 5, 9, 10, 11, 12, 16, 17, 19]",60.87,"[3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18, 20, 23]",43.48,"[3, 4, 5, 9, 10, 11, 12, 16, 17, 19]",65.22,"[3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18, 20, 21, 23]",43.48,"[3, 4, 5, 9, 10, 11, 12, 16, 17, 19]"
852,8,26.53,"[4, 5, 6, 12, 14, 17, 24, 27, 30, 33, 38, 39, 42]",22.45,"[2, 9, 16, 18, 19, 20, 21, 27, 32, 37, 41]",28.57,"[4, 5, 6, 12, 17, 18, 24, 27, 30, 31, 33, 38, 39, 42]",20.41,"[2, 16, 18, 19, 20, 21, 27, 32, 37, 41]",28.57,"[4, 5, 6, 12, 17, 18, 24, 27, 30, 31, 33, 38, 39, 42]",22.45,"[2, 9, 16, 18, 19, 20, 21, 27, 32, 37, 41]"
853,8,31.82,"[2, 5, 6, 7, 13, 15, 20, 27, 29, 33, 35, 36, 38, 42]",22.73,"[3, 5, 7, 8, 9, 11, 14, 28, 33, 42]",29.55,"[2, 5, 6, 7, 13, 20, 27, 29, 33, 35, 36, 38, 42]",22.73,"[3, 5, 7, 8, 9, 11, 14, 28, 33, 42]",29.55,"[2, 5, 6, 7, 13, 20, 27, 29, 33, 35, 36, 38, 42]",25.0,"[3, 5, 7, 8, 9, 11, 14, 28, 33, 37, 42]"
