ServiceNo,Weekday_Percentage_Exceed,Weekend_Percentage_Exceed
856,10.81081081081081,8.108108108108109
911,10.714285714285714,10.714285714285714
861,10.714285714285714,5.357142857142857
359,10.526315789473683,7.894736842105263
285,10.526315789473683,5.263157894736842
925,10.0,7.5
296,10.0,5.0
182M,10.0,5.0
6,10.0,3.3333333333333335
301,10.0,0.0
854,9.803921568627452,3.9215686274509802
258,9.75609756097561,4.878048780487805
293,9.75609756097561,0.0
46,9.67741935483871,6.451612903225806
189,9.375,6.25
811,9.30232558139535,4.651162790697675
225G,9.090909090909092,9.090909090909092
903,9.090909090909092,9.090909090909092
25,9.090909090909092,6.8181818181818175
372,9.090909090909092,4.545454545454546
184,8.928571428571429,3.571428571428571
19,8.928571428571429,1.7857142857142856
69,8.823529411764707,5.88235294117647
302,8.695652173913043,8.695652173913043
900,8.695652173913043,4.3478260869565215
99,8.695652173913043,2.1739130434782608
183,8.620689655172415,3.4482758620689653
179,8.333333333333332,4.166666666666666
253,8.333333333333332,4.166666666666666
160A,8.333333333333332,0.0
230,8.333333333333332,0.0
329,8.333333333333332,0.0
182,8.19672131147541,4.918032786885246
252,8.108108108108109,2.7027027027027026
235,8.0,0.0
169,7.2727272727272725,3.6363636363636362
249A,7.142857142857142,7.142857142857142
911T,7.142857142857142,7.142857142857142
992,7.142857142857142,0.0
291,6.896551724137931,3.4482758620689653
78,6.896551724137931,3.4482758620689653
243G,6.666666666666667,6.666666666666667
243W,6.666666666666667,6.666666666666667
72,6.666666666666667,4.444444444444445
317,6.0606060606060606,3.0303030303030303
172,6.0606060606060606,3.0303030303030303
920,5.88235294117647,0.0
181,5.555555555555555,5.555555555555555
194,5.555555555555555,5.555555555555555
806,5.555555555555555,0.0
116,5.405405405405405,0.0
979,5.263157894736842,2.631578947368421
79,5.263157894736842,1.7543859649122806
912A,5.263157894736842,0.0
941,5.263157894736842,0.0
232,5.0,0.0
254,4.761904761904762,4.761904761904762
804,4.545454545454546,4.545454545454546
255,4.166666666666666,4.166666666666666
983,3.3333333333333335,3.3333333333333335
975,3.260869565217391,1.0869565217391304
85,3.225806451612903,3.225806451612903
251,3.125,0.0
307,2.7777777777777777,0.0
