ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
188,10,1.75,[14],0.0,[],1.75,[14],0.0,[],1.75,[14],0.0,[]
188e,10,3.57,[13],0.0,[],3.57,[13],0.0,[],3.57,[13],0.0,[]
189,10,0.0,[],0.0,[],,,,,0.0,[],0.0,[]
189A,10,,,,,,,,,,,,
19,10,14.29,"[14, 15, 20, 21, 22, 36, 37, 42]",0.0,[],16.07,"[14, 15, 20, 21, 22, 23, 36, 37, 42]",0.0,[],12.5,"[15, 20, 21, 22, 36, 37, 42]",0.0,[]
190,10,0.0,[],0.0,[],0.0,[],0.0,[],,,,
191,10,35.0,"[7, 8, 9, 10, 12, 13, 14]",0.0,[],25.0,"[7, 9, 10, 12, 14]",0.0,[],25.0,"[7, 9, 10, 12, 14]",0.0,[]
192,10,39.39,"[10, 12, 13, 14, 18, 19, 20, 21, 26, 27, 29, 30, 33]",30.3,"[21, 18, 17, 16, 8, 7, 5, 4, 3, 1]",36.36,"[12, 13, 14, 18, 19, 20, 21, 26, 27, 29, 30, 33]",30.3,"[21, 18, 17, 16, 8, 7, 5, 4, 3, 1]",36.36,"[12, 13, 14, 18, 19, 20, 21, 26, 27, 29, 30, 33]",36.36,"[21, 18, 17, 16, 15, 14, 8, 7, 5, 4, 3, 1]"
193,10,53.49,"[12, 13, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]",53.49,"[12, 13, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]",60.47,"[11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]"
194,10,37.5,"[9, 10, 11]",0.0,[],37.5,"[9, 10, 11]",0.0,[],37.5,"[9, 10, 11]",0.0,[]
195,10,0.0,[],0.0,[],0.0,[],0.0,[],1.45,[2],0.0,[]
195A,10,0.0,[],0.0,[],0.0,[],0.0,[],1.79,[2],0.0,[]
196,10,2.94,"[20, 60]",0.0,[],1.47,[60],0.0,[],2.94,"[20, 60]",0.0,[]
196A,10,2.94,[20],0.0,[],0.0,[],0.0,[],2.94,[20],0.0,[]
197,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
198,10,2.27,[16],2.27,[29],2.27,[16],2.27,[29],0.0,[],2.27,[29]
199,10,14.81,"[13, 14, 16, 22]",0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
2,10,2.9,"[6, 22]",6.45,"[57, 56, 54, 41]",2.9,"[6, 22]",6.45,"[57, 56, 54, 41]",5.8,"[6, 22, 23, 24]",4.84,"[57, 54, 41]"
20,10,6.82,"[15, 23, 30]",0.0,[],9.09,"[15, 23, 29, 30]",0.0,[],6.82,"[15, 29, 30]",0.0,[]
200,10,11.11,"[9, 10, 35, 36, 38]",0.0,[],8.89,"[9, 10, 36, 38]",0.0,[],13.33,"[8, 9, 10, 36, 37, 38]",0.0,[]
200A,10,8.7,"[9, 10]",0.0,[],8.7,"[9, 10]",0.0,[],13.04,"[8, 9, 10]",0.0,[]
201,10,0.0,[],0.0,[],2.63,[15],0.0,[],2.63,[15],0.0,[]
20A,10,9.52,"[8, 16]",0.0,[],9.52,"[8, 16]",0.0,[],4.76,[8],0.0,[]
21,10,1.47,[68],1.49,[5],1.47,[68],1.49,[5],0.0,[],0.0,[]
22,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
222,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
222B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
229,10,4.17,[14],0.0,[],0.0,[],0.0,[],4.17,[14],0.0,[]
23,10,,,,,,,,,,,,
235,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
24,10,0.0,[],0.0,[],0.0,[],0.0,[],2.0,"[40, 61]",0.0,[]
240,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
240M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
242,10,0.0,[],0.0,[],6.67,[12],0.0,[],6.67,[12],0.0,[]
246,10,4.44,"[4, 7]",0.0,[],4.44,"[4, 7]",0.0,[],6.67,"[4, 7, 37]",0.0,[]
247,10,76.47,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 49, 51]",0.0,[],78.43,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49, 51]",0.0,[],78.43,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49, 51]",0.0,[]
248,10,56.25,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 19, 20, 23, 25, 26, 28, 29, 32]",0.0,[],62.5,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 19, 20, 23, 24, 25, 26, 28, 29, 32]",0.0,[],59.38,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 19, 20, 23, 24, 25, 26, 28, 29, 32]",0.0,[]
248M,10,57.58,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 20, 21, 24, 26, 27, 29, 30, 33]",0.0,[],63.64,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 20, 21, 24, 25, 26, 27, 29, 30, 33]",0.0,[],60.61,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 20, 21, 24, 25, 26, 27, 29, 30, 33]",0.0,[]
